"","sid","poste","longitude","latitude","altitude","network_name","state","type_name","to","from","mtime","sunrise","sunset","tsa","ens","vvt","plu"
"1",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-01 00:00:00,06:27:54,16:17:11,5.5,0,0.7,0
"2",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-01 01:00:00,06:27:54,16:17:11,5.3,0,0.9,0
"3",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-01 02:00:00,06:27:54,16:17:11,4.7,0,1.2,0
"4",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-01 03:00:00,06:27:54,16:17:11,4.9,0,1,0
"5",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-01 04:00:00,06:27:54,16:17:11,4.8,0,1.4,0
"6",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-01 05:00:00,06:27:54,16:17:11,4.2,0,1.9,0
"7",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-01 06:00:00,06:27:54,16:17:11,3.7,0,1.5,0
"8",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-01 07:00:00,06:27:54,16:17:11,3.8,14,2,0.1
"9",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-01 08:00:00,06:27:54,16:17:11,4.7,108,1.5,0
"10",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-01 09:00:00,06:27:54,16:17:11,7.2,214,1.1,0
"11",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-01 10:00:00,06:27:54,16:17:11,9.2,306,1.4,0
"12",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-01 11:00:00,06:27:54,16:17:11,12.6,366,1.2,0
"13",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-01 12:00:00,06:27:54,16:17:11,14.9,381,0.5,0
"14",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-01 13:00:00,06:27:54,16:17:11,17.1,358,0.8,0
"15",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-01 14:00:00,06:27:54,16:17:11,19.4,304,0.8,0
"16",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-01 15:00:00,06:27:54,16:17:11,19.2,207,0.7,0
"17",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-01 16:00:00,06:27:54,16:17:11,17.1,91,1.3,0
"18",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-01 17:00:00,06:27:54,16:17:11,14.6,7,2,0
"19",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-01 18:00:00,06:27:54,16:17:11,14,0,1.6,0
"20",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-01 19:00:00,06:27:54,16:17:11,12.1,0,1.4,0
"21",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-01 20:00:00,06:27:54,16:17:11,10.7,0,0.9,0
"22",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-01 21:00:00,06:27:54,16:17:11,10,0,1.4,0
"23",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-01 22:00:00,06:27:54,16:17:11,9,0,1,0
"24",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-01 23:00:00,06:27:54,16:17:11,7.3,0,0.9,0
"25",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-02 00:00:00,06:29:34,16:15:27,9,0,2,0
"26",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-02 01:00:00,06:29:34,16:15:27,9,0,1.1,0
"27",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-02 02:00:00,06:29:34,16:15:27,6.9,0,0.9,0
"28",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-02 03:00:00,06:29:34,16:15:27,7.2,0,0.6,0
"29",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-02 04:00:00,06:29:34,16:15:27,6.8,0,0.5,0
"30",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-02 05:00:00,06:29:34,16:15:27,6.3,0,1,0
"31",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-02 06:00:00,06:29:34,16:15:27,4.2,0,0.9,0
"32",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-02 07:00:00,06:29:34,16:15:27,5.2,10,0.4,0
"33",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-02 08:00:00,06:29:34,16:15:27,3.7,78,0.5,0
"34",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-02 09:00:00,06:29:34,16:15:27,6.1,203,0.9,0
"35",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-02 10:00:00,06:29:34,16:15:27,9.8,309,1.8,0
"36",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-02 11:00:00,06:29:34,16:15:27,11.8,370,1.1,0
"37",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-02 12:00:00,06:29:34,16:15:27,13.9,392,1.4,0
"38",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-02 13:00:00,06:29:34,16:15:27,16.3,373,1.5,0
"39",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-02 14:00:00,06:29:34,16:15:27,16.9,308,1.5,0
"40",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-02 15:00:00,06:29:34,16:15:27,15.7,207,1.6,0
"41",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-02 16:00:00,06:29:34,16:15:27,12,88,2.7,0
"42",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-02 17:00:00,06:29:34,16:15:27,9.1,5,1.9,0
"43",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-02 18:00:00,06:29:34,16:15:27,7.1,0,1.1,0
"44",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-02 19:00:00,06:29:34,16:15:27,5.9,0,1.1,0
"45",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-02 20:00:00,06:29:34,16:15:27,4.9,0,1.3,0
"46",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-02 21:00:00,06:29:34,16:15:27,4.4,0,1,0
"47",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-02 22:00:00,06:29:34,16:15:27,3.7,0,1.1,0
"48",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-02 23:00:00,06:29:34,16:15:27,3.4,0,1.4,0
"49",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-03 00:00:00,06:31:15,16:13:44,3,0,1,0
"50",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-03 01:00:00,06:31:15,16:13:44,2.7,0,1.4,0
"51",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-03 02:00:00,06:31:15,16:13:44,3.5,0,1.6,0
"52",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-03 03:00:00,06:31:15,16:13:44,2.6,0,1.3,0
"53",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-03 04:00:00,06:31:15,16:13:44,3,0,1.4,0
"54",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-03 05:00:00,06:31:15,16:13:44,3,0,2.1,0
"55",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-03 06:00:00,06:31:15,16:13:44,3.2,0,1.6,0
"56",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-03 07:00:00,06:31:15,16:13:44,4.6,16,2.1,0
"57",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-03 08:00:00,06:31:15,16:13:44,4.8,85,1.6,0
"58",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-03 09:00:00,06:31:15,16:13:44,6.9,206,1.4,0
"59",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-03 10:00:00,06:31:15,16:13:44,9.5,209,1.3,0
"60",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-03 11:00:00,06:31:15,16:13:44,12.6,308,1.6,0
"61",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-03 12:00:00,06:31:15,16:13:44,14.1,192,1.3,0
"62",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-03 13:00:00,06:31:15,16:13:44,14.9,152,1,0
"63",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-03 14:00:00,06:31:15,16:13:44,16.1,192,1.5,0
"64",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-03 15:00:00,06:31:15,16:13:44,15.6,90,1.6,0
"65",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-03 16:00:00,06:31:15,16:13:44,14.7,28,1.7,0
"66",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-03 17:00:00,06:31:15,16:13:44,12.9,2,2.2,0
"67",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-03 18:00:00,06:31:15,16:13:44,12.7,0,2.1,0
"68",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-03 19:00:00,06:31:15,16:13:44,12.7,0,1.8,0
"69",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-03 20:00:00,06:31:15,16:13:44,12.7,0,2,0
"70",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-03 21:00:00,06:31:15,16:13:44,13.2,0,2.1,0
"71",61,"Humain",5.25536,50.19362,291,"pameseb","Ok","Easylog",2018-01-01 02:00:00,2015-06-04 13:00:00,2015-11-03 22:00:00,06:31:15,16:13:44,12.5,0,3.8,0
